date,amount,index
2009/2/1,78596,398
2009/2/2,92678,399
2009/2/3,91884,400
2009/2/4,93088,401
2009/2/5,93004,402
2009/2/6,90263,403
2009/2/7,82278,404
2009/2/8,78747,405
2009/2/9,94673,406
2009/2/10,90563,407
2009/2/11,87867,408
2009/2/12,89390,409
2009/2/13,88397,410
2009/2/14,71925,411
2009/2/15,70857,412
2009/2/16,83692,413
2009/2/17,92480,414
2009/2/18,91999,415
2009/2/19,92489,416
2009/2/20,93033,417
2009/2/21,81642,418
2009/2/22,78259,419
2009/2/23,92485,420
2009/2/24,96088,421
2009/2/25,92876,422
2009/2/26,93431,423
2009/2/27,98034,424
2009/2/28,82245,425
2009/3/1,78852,426
2009/3/2,89100,427
2009/3/3,98199,428
2009/3/4,96184,429
2009/3/5,90204,430
2009/3/6,93454,431
2009/3/7,77134,432
2009/3/8,78104,433
2009/3/9,87442,434
2009/3/10,85181,435
2009/3/11,89561,436
2009/3/12,89206,437
2009/3/13,87681,438
2009/3/14,78423,439
2009/3/15,74153,440
2009/3/16,82062,441
2009/3/17,81455,442
2009/3/18,80186,443
2009/3/19,77790,444
2009/3/20,72498,445
2009/3/21,71377,446
2009/3/22,69736,447
2009/3/23,78098,448
2009/3/24,83975,449
2009/3/25,87146,450
2009/3/26,85986,451
2009/3/27,84695,452
2009/3/28,79411,453
2009/3/29,73885,454
2009/3/30,81807,455
2009/3/31,81686,456
2009/4/1,84460,457
2009/4/2,84684,458
2009/4/3,81198,459
2009/4/4,73493,460
2009/4/5,68697,461
2009/4/6,77031,462
2009/4/7,77864,463
2009/4/8,77669,464
2009/4/9,77558,465
2009/4/10,76360,466
2009/4/11,70469,467
2009/4/12,66884,468
2009/4/13,75356,469
2009/4/14,78123,470
2009/4/15,77241,471
2009/4/16,77396,472
2009/4/17,78513,473
2009/4/18,70769,474
2009/4/19,66280,475
2009/4/20,75623,476
2009/4/21,79075,477
2009/4/22,77878,478
2009/4/23,76707,479
2009/4/24,76881,480
2009/4/25,75676,481
2009/4/26,66712,482
